,name
0,乐器 - 乐器配件 - 管弦乐弦乐配件及零件
1,琴包和琴盒 
2,琴弓
3,清洁与保养
4,"尾针、托架和轮子"
5,零件
6,松香
7,肩托和下巴托
8,支架和吊架
9,琴弦
10,大提琴
11,直立低音提琴
12,中提琴
13,小提琴
14,大提琴
15,直立低音提琴
16,中提琴
17,小提琴
18,大提琴
19,直立低音提琴
20,中提琴
21,小提琴
22,大提琴
23,直立低音提琴
24,中提琴
25,小提琴
26,中提琴
27,小提琴
28,大提琴
29,直立低音提琴
30,中提琴
31,小提琴
32,"服装、鞋类和首饰 - 男孩 - 首饰"
33,手链
34,项链
35,袖扣
36,戒指
37,领带夹
38,"服装、鞋类及首饰 - 女孩 - 首饰"
39,脚链
40,手链
41,胸针和别针
42,耳环
43,项链和吊坠
44,戒指
45,手镯
46,吊饰
47,袖口
48,标识
49,链接
50,球形
51,坠饰
52,环状
53,螺柱
54,链条
55,锁扣
56,吊坠
57,"服装、鞋类及首饰 - 女士 - 首饰"
58,脚链
59,手链
60,胸针和别针
61,耳环
62,首饰套装
63,项链
64,戒指
65,婚礼与订婚
66,智能珠宝
67,身体饰品
68,手镯
69,吊饰和吊饰手链
70,袖口
71,标识
72,链接
73,串
74,弹力
75,网球
76,包裹
77,球
78,夹扣
79,袖口和包边
80,垂坠式耳环
81,耳环套
82,环状
83,耳钉
84,链条
85,领圈
86,项圈
87,锁扣
88,珍珠链
89,吊坠
90,吊坠增强器
91,项链串
92,Y 形项链
93,表带
94,堆叠式
95,声明
96,周年纪念戒指
97,新娘套装
98,订婚戒指
99,永恒戒指
100,许愿戒指
101,戒指增强器
102,结婚戒指
103,身体链
104,牙套
105,仿人体穿孔饰品
106,穿孔饰品
107,脚趾环
108,吊饰手链
109,吊饰
110,倒钩
111,插头
112,固定器
113,戒指
114,螺钉
115,螺柱
116,锥体
117,隧道
118,意大利式
119,链接
120,蛇形
121,串珠
122,搭扣
123,意大利式
124,"服装、鞋类及珠宝 - 男士 - 珠宝"
125,手链
126,袖扣
127,耳环
128,项链
129,戒指
130,衬衫钉
131,领带夹
132,领带夹
133,结婚戒指
134,身体饰品
135,袖口
136,标识
137,链接
138,牙箍
139,仿人体穿孔饰品
140,穿孔饰品
141,脚趾环
142,倒钩
143,塞子
144,固定器
145,戒指
146,螺钉
147,螺柱
148,锥体
149,隧道
150,卫生保健 - 戒烟
151,尼古丁口香糖及含片
152,尼古丁贴片
153,无烟吸入器
154,美甲及指甲油
155,底油和顶油
156,美甲固化灯
157,假指甲及配件
158,美甲配件
159,美甲刷
160,指甲烘干机
161,指甲油
162,指甲油去除剂
163,指甲增厚液
164,底油
165,底油和顶油组合
166,顶油
167,丙烯酸美甲工具
168,丙烯酸粉末和液体
169,假指甲
170,指甲胶水
171,指甲贴片
172,美甲设备
173,装饰套装
174,粘土
175,闪粉
176,珍珠
177,水钻
178,贴纸及贴花
179,分条线
180,铆钉
181,指甲贴膜